name,state,population,breast,colorectal,prostate,lung,melanoma,poverty,income,region,black_alone,white_alone,asian_alone,lat,lon
amador,ca,36963,149.8,38,114,58.7,27.2,14.3,52357,pacific,2.4294564835105374,86.67857046235424,1.4798582366149933,38.44639,-120.651116
butte,ca,223877,141.5,40.8,128.9,61.4,27.2,21.4,42395,pacific,1.5035041563001112,83.12823559365187,4.310849260978126,39.666929,-121.600672
calaveras,ca,44787,101.5,37.8,110.6,52.3,38.9,15,52598,pacific,0.576060017415768,92.22318976488714,1.000290262799473,38.204606,-120.554132
colusa,ca,21361,113.5,35.8,98.3,56,16.7,13,48897,pacific,1.0392771873975937,87.64102804175835,1.6197743551331867,39.177573,-122.237028
contra costa,ca,1107925,129.5,41.5,136.9,49.2,29.4,10.8,78909,pacific,8.757993546494573,59.73842994787553,15.511248505088341,37.923419,-121.951212
del norte,ca,27628,112.7,35.9,99.8,78.4,11.8,23.7,38663,pacific,2.323729549732156,77.76531055450992,2.432315042710294,41.744957,-123.957814
el dorado,ca,183e3,135.8,38.2,119.3,50,35.2,11.4,63002,pacific,0.9748633879781421,86.97540983606558,4.1508196721311474,38.778738,-120.524647
fresno,ca,963160,114.1,36.1,109.5,50.8,15.9,28.6,43741,pacific,5.028655675069563,61.580526599941855,9.921300718468375,36.758179,-119.64932
glenn,ca,27976,133,39.8,109,61.2,20.2,19.1,42129,pacific,0.6970260223048327,83.975550471833,2.4485273091221047,39.598405,-122.392207
humboldt,ca,135182,111,42.6,111.7,56.4,28.5,21.5,40882,pacific,1.1858087615215043,81.2075572191564,2.7659007856075513,40.70501,-123.915819
imperial,ca,178807,100.7,33.7,127.1,44.3,7.9,22.7,40106,pacific,2.715777346524465,69.54369795365953,1.4305927620283323,33.039506,-115.36532
inyo,ca,18326,141,32.7,137.8,45.7,16,15.7,45784,pacific,0.9822110662446797,81.86729237149405,1.216850376514242,36.511127,-117.41079
kern,ca,871337,107.6,36.5,108.9,55.7,15.5,22.7,46688,pacific,5.539073860056442,74.34918980830608,4.600745750496077,35.342849,-118.7299
kings,ca,150261,103.7,37.6,104,48.8,15.6,21.8,45794,pacific,6.3862213082569665,67.03535847625132,3.7933994848962804,36.075361,-119.815502
lake,ca,64076,109.5,44.8,91.1,73.7,27.7,23.3,36973,pacific,2.1771021911480117,78.79861414570198,1.360883950309008,39.099645,-122.753184
lassen,ca,31945,91.6,29.6,94.4,60.9,15.1,19.1,50487,pacific,8.905932070746596,79.70261386758492,1.6747534825481296,40.67359,-120.594333
los angeles,ca,10057155,116.1,39.4,113.8,39.9,13.2,19,54443,pacific,8.265886326699748,52.534310150335756,14.232265486611274,34.191753,-118.265135
madera,ca,153366,104.1,35.5,110.8,51.8,19,23.4,41223,pacific,3.326682576320697,78.99143226008373,1.9919669287847372,37.218031,-119.762648
marin,ca,259358,137.5,35.8,136.7,41.6,46.1,8.7,94347,pacific,2.3423221955752282,79.01356426252516,5.665142390055444,38.055183,-122.748859
mariposa,ca,17645,111.6,36,107.2,54.6,28.5,16.4,45251,pacific,1.280816095211108,88.08160952111079,1.2694814395012752,37.581522,-119.905517
mendocino,ca,87409,116.7,38.6,110.6,52.2,27.2,20.9,42001,pacific,0.64524248075141,82.76836481369196,1.7606882586461348,39.433624,-123.431554
merced,ca,265001,108.5,37.9,104.3,56.9,14.6,24.8,41003,pacific,3.359232606669409,58.58053365836356,7.4878962720895395,37.191857,-120.717669
modoc,ca,9033,118.7,28.1,85.1,43.7,22,20,37055,pacific,0.9077825750027676,90.23580205911657,1.4391674969556072,41.589848,-120.724967
monterey,ca,430201,115.3,29.4,141,42.6,21.7,17.5,55411,pacific,2.6703796597404468,69.87663905941642,5.856564722071775,36.239774,-121.308902
napa,ca,140823,138.5,40.2,134.3,53.3,31.4,9.7,68619,pacific,2.0898574806672205,73.2259645086385,7.762226340867614,38.506474,-122.330533
